position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
192502 -0.00875596 0.0005 0 2498 0.01 1e-06 1e-06 5 2500 0
387502 -0.154014 0.1975 0.7235 2236 0.01 1e-06 1e-06 5 2500 0
642501 -0.0144098 0.0355 0.0095 2414 0.01 1e-06 1e-06 5 2500 0
642502 0.0297428 0.1335 0.0585 906 0.01 1e-06 1e-06 5 2500 0
1610002 -0.0901862 0 0.0005 2499 0.01 1e-06 1e-06 5 2500 0
1632501 -0.0851788 0.21 0.597 1635 0.01 1e-06 1e-06 5 2500 0
2150001 -0.100961 0.001 0 2498 0.01 1e-06 1e-06 5 2500 0
2210002 0.0670228 0.6855 0.437 987 0.01 1e-06 1e-06 5 2500 0
2262501 0.0333103 0.0025 0 2458 0.01 1e-06 1e-06 5 2500 0
2307502 -0.100722 0.0075 0.0465 2208 0.01 1e-06 1e-06 5 2500 0
2412501 -0.0437544 0.0925 0.1425 1473 0.01 1e-06 1e-06 5 2500 0
3005001 -0.00632277 0 0.0055 2450 0.01 1e-06 1e-06 5 2500 0
3470001 0.0249476 0.232 0.1325 574 0.01 1e-06 1e-06 5 2500 0
387502 -0.154014 0.165 0.7465 2236 0.01 1e-06 1e-06 5 5000 0
552502 0.02366 0.2665 0.278 2540 0.01 1e-06 1e-06 5 5000 0
642502 0.0297428 0.615 0.5915 906 0.01 1e-06 1e-06 5 5000 0
1617501 0.0183518 0.26 0.1885 3862 0.01 1e-06 1e-06 5 5000 0
1632501 -0.0851788 0.1375 0.4355 1635 0.01 1e-06 1e-06 5 5000 0
1662502 -0.0233592 0.001 0 4945 0.01 1e-06 1e-06 5 5000 0
1917502 -0.1515 0.129 0.6615 3545 0.01 1e-06 1e-06 5 5000 0
2210002 0.0670228 0.897 0.7415 987 0.01 1e-06 1e-06 5 5000 0
2307502 -0.100722 0.1605 0.5035 2208 0.01 1e-06 1e-06 5 5000 0
2412501 -0.0437544 0.142 0.328 1473 0.01 1e-06 1e-06 5 5000 0
2495002 -0.0631692 0.004 0 4994 0.01 1e-06 1e-06 5 5000 0
3087502 0.0788132 0.7505 0.4175 3181 0.01 1e-06 1e-06 5 5000 0
3470001 0.0249476 0.583 0.635 574 0.01 1e-06 1e-06 5 5000 0
4122501 0.00168785 0.0005 0.0065 4980 0.01 1e-06 1e-06 5 5000 0
4400001 -0.0516633 0 0.001 4999 0.01 1e-06 1e-06 5 5000 0
4580002 0.0140191 0 0.004 4990 0.01 1e-06 1e-06 5 5000 0
4617502 -0.0810203 0 0.02 4889 0.01 1e-06 1e-06 5 5000 0
1610001 -0.0705631 0 0.0005 2500 0.01 1e-06 1e-06 5 2500 1
1632501 0.0491793 0.5905 0.3495 353 0.01 1e-06 1e-06 5 2500 1
2045001 0.117188 0.536 0.126 1305 0.01 1e-06 1e-06 5 2500 1
2112502 0.101363 0.0005 0 2496 0.01 1e-06 1e-06 5 2500 1
2150002 0.0137222 0.0255 0.0265 2269 0.01 1e-06 1e-06 5 2500 1
2300002 -0.0494216 0.0035 0.009 2472 0.01 1e-06 1e-06 5 2500 1
2990001 0.0285206 0.002 0.0005 2478 0.01 1e-06 1e-06 5 2500 1
4895001 -0.0537171 0.003 0 2491 0.01 1e-06 1e-06 5 2500 1
4962501 0.10067 0.299 0.057 2194 0.01 1e-06 1e-06 5 2500 1
27502 -0.0433892 0.0025 0 4992 0.01 1e-06 1e-06 5 5000 1
567501 0.174385 0.674 0.1365 4375 0.01 1e-06 1e-06 5 5000 1
1632501 0.0491793 0.3415 0.1175 353 0.01 1e-06 1e-06 5 5000 1
1677501 -0.013419 0.0095 0.005 4800 0.01 1e-06 1e-06 5 5000 1
2045001 0.00727693 0 0.0155 4980 0.01 1e-06 1e-06 5 5000 1
2045001 0.117188 0.4885 0.1425 1305 0.01 1e-06 1e-06 5 5000 1
2150001 -0.0509711 0.0045 0.044 4886 0.01 1e-06 1e-06 5 5000 1
2352501 -0.0383499 0.0005 0 4999 0.01 1e-06 1e-06 5 5000 1
2412502 -0.0351708 0.1375 0.239 4474 0.01 1e-06 1e-06 5 5000 1
3020002 0.0328878 0 0.0005 5000 0.01 1e-06 1e-06 5 5000 1
3507502 -0.0397584 0.459 0.472 3971 0.01 1e-06 1e-06 5 5000 1
4092501 0.0893692 0.4795 0.144 2965 0.01 1e-06 1e-06 5 5000 1
4482501 -0.0873843 0.3365 0.689 4077 0.01 1e-06 1e-06 5 5000 1
4962501 0.10067 0.6555 0.1725 2194 0.01 1e-06 1e-06 5 5000 1
