position select_coef p1_freq p2_freq fixed_since migr_rate mut_rate recomb_rate fitness_width output_gen rep
207502 -0.0495855 0 1724 101 1e-05 1e-06 1e-08 5 1000 0
2037502 -0.10743 0 1894 458 1e-05 1e-06 1e-08 5 1000 0
2210001 -0.0381939 0 68 905 1e-05 1e-06 1e-08 5 1000 0
2352502 0.119781 2000 0 327 1e-05 1e-06 1e-08 5 1000 0
2720002 -0.0111776 0 3 981 1e-05 1e-06 1e-08 5 1000 0
2892502 -0.00840574 0 1220 57 1e-05 1e-06 1e-08 5 1000 0
4400002 0.0594414 1079 0 723 1e-05 1e-06 1e-08 5 1000 0
4482501 -0.0346148 0 1615 428 1e-05 1e-06 1e-08 5 1000 0
207502 -0.0495855 0 2000 101 1e-05 1e-06 1e-08 5 2000 0
342502 -0.0114629 0 73 1821 1e-05 1e-06 1e-08 5 2000 0
1310002 -0.0470537 35 0 1905 1e-05 1e-06 1e-08 5 2000 0
1610002 0.0534554 8 0 1970 1e-05 1e-06 1e-08 5 2000 0
2037502 -0.10743 0 2000 458 1e-05 1e-06 1e-08 5 2000 0
2210001 -0.0381939 0 1380 905 1e-05 1e-06 1e-08 5 2000 0
2300002 -0.0657034 0 330 1738 1e-05 1e-06 1e-08 5 2000 0
2352502 0.119781 2000 0 327 1e-05 1e-06 1e-08 5 2000 0
2892502 -0.00840574 0 2000 57 1e-05 1e-06 1e-08 5 2000 0
3087501 -0.0309398 0 66 1849 1e-05 1e-06 1e-08 5 2000 0
3620002 0.0259417 0 9 1964 1e-05 1e-06 1e-08 5 2000 0
4400002 0.0594414 2000 0 723 1e-05 1e-06 1e-08 5 2000 0
4482501 -0.0346148 0 2000 428 1e-05 1e-06 1e-08 5 2000 0
4482501 0.0475683 0 4 1996 1e-05 1e-06 1e-08 5 2000 0
4722502 0.0649131 1983 0 1131 1e-05 1e-06 1e-08 5 2000 0
207501 0.00564119 0 1 3000 1e-05 1e-06 1e-08 5 3000 0
207502 -0.0495855 0 2000 101 1e-05 1e-06 1e-08 5 3000 0
387502 0.047119 0 1 2994 1e-05 1e-06 1e-08 5 3000 0
1355002 0.0928155 410 0 2566 1e-05 1e-06 1e-08 5 3000 0
1677502 -0.0274067 0 166 2838 1e-05 1e-06 1e-08 5 3000 0
2037502 -0.10743 0 2000 458 1e-05 1e-06 1e-08 5 3000 0
2045002 0.0189491 225 0 2672 1e-05 1e-06 1e-08 5 3000 0
2210001 -0.0381939 0 1091 905 1e-05 1e-06 1e-08 5 3000 0
2300002 -0.0657034 0 937 1738 1e-05 1e-06 1e-08 5 3000 0
2352502 0.119781 2000 0 327 1e-05 1e-06 1e-08 5 3000 0
2892502 -0.00840574 0 2000 57 1e-05 1e-06 1e-08 5 3000 0
3747502 0.0155308 0 10 2993 1e-05 1e-06 1e-08 5 3000 0
4400002 0.0594414 2000 0 723 1e-05 1e-06 1e-08 5 3000 0
4482501 -0.0346148 0 2000 428 1e-05 1e-06 1e-08 5 3000 0
4617501 -0.030161 13 0 2954 1e-05 1e-06 1e-08 5 3000 0
4722502 0.0649131 2000 0 1131 1e-05 1e-06 1e-08 5 3000 0
207502 -0.0495855 0 2000 101 1e-05 1e-06 1e-08 5 4000 0
567501 -0.0685298 149 0 3925 1e-05 1e-06 1e-08 5 4000 0
567501 0.0414056 76 0 3824 1e-05 1e-06 1e-08 5 4000 0
1355002 0.0928155 2000 0 2566 1e-05 1e-06 1e-08 5 4000 0
1677502 -0.0274067 0 219 2838 1e-05 1e-06 1e-08 5 4000 0
1737502 -0.0435595 0 556 3501 1e-05 1e-06 1e-08 5 4000 0
2015001 -0.0112781 0 485 3553 1e-05 1e-06 1e-08 5 4000 0
2037502 -0.10743 0 2000 458 1e-05 1e-06 1e-08 5 4000 0
2045001 -0.0661601 0 1 3990 1e-05 1e-06 1e-08 5 4000 0
2045002 0.0189491 2000 0 2672 1e-05 1e-06 1e-08 5 4000 0
2112502 -0.0106573 1 0 3997 1e-05 1e-06 1e-08 5 4000 0
2210001 -0.0381939 0 762 905 1e-05 1e-06 1e-08 5 4000 0
2300002 -0.0657034 0 1219 1738 1e-05 1e-06 1e-08 5 4000 0
2352502 0.119781 2000 0 327 1e-05 1e-06 1e-08 5 4000 0
2720001 0.0134301 206 0 3422 1e-05 1e-06 1e-08 5 4000 0
