position select_coef p1_freq p2_freq fixed_since migr_rate mut_rate recomb_rate fitness_width output_gen rep
132501 0.0485098 9 0 984 1e-05 1e-06 1e-06 2 1000 0
132502 0.054601 2000 0 71 1e-05 1e-06 1e-06 2 1000 0
132502 0.0294024 375 0 590 1e-05 1e-06 1e-06 2 1000 0
552502 -0.0501058 0 1 1000 1e-05 1e-06 1e-06 2 1000 0
620002 -0.0393987 1 0 999 1e-05 1e-06 1e-06 2 1000 0
1737502 0.0372101 1976 2 41 1e-05 1e-06 1e-06 2 1000 0
3507501 0.127845 2000 0 421 1e-05 1e-06 1e-06 2 1000 0
3987502 -0.0688074 0 1913 751 1e-05 1e-06 1e-06 2 1000 0
4070001 0.0874025 2000 0 349 1e-05 1e-06 1e-06 2 1000 0
4092502 0.0704179 2000 0 58 1e-05 1e-06 1e-06 2 1000 0
4482501 0.0352346 2 0 995 1e-05 1e-06 1e-06 2 1000 0
4812501 0.0456021 0 1 999 1e-05 1e-06 1e-06 2 1000 0
4812502 0.0112251 0 17 967 1e-05 1e-06 1e-06 2 1000 0
4962502 -0.0715056 0 2000 601 1e-05 1e-06 1e-06 2 1000 0
132502 0.054601 2000 2 71 1e-05 1e-06 1e-06 2 2000 0
132502 0.0294024 1774 2 590 1e-05 1e-06 1e-06 2 2000 0
1610002 -0.106219 0 1998 1018 1e-05 1e-06 1e-06 2 2000 0
1737502 0.0372101 2000 2 41 1e-05 1e-06 1e-06 2 2000 0
2030002 -0.0181593 0 1 2000 1e-05 1e-06 1e-06 2 2000 0
2307501 0.0181854 2 0 1905 1e-05 1e-06 1e-06 2 2000 0
2457501 0.0146601 1390 2 1269 1e-05 1e-06 1e-06 2 2000 0
3507501 0.127845 2000 2 421 1e-05 1e-06 1e-06 2 2000 0
3620002 -0.0388941 0 1536 1205 1e-05 1e-06 1e-06 2 2000 0
3987502 -0.0688074 0 1998 751 1e-05 1e-06 1e-06 2 2000 0
4070001 0.0874025 2000 2 349 1e-05 1e-06 1e-06 2 2000 0
4092502 0.0704179 2000 2 58 1e-05 1e-06 1e-06 2 2000 0
4962502 -0.0715056 0 1998 601 1e-05 1e-06 1e-06 2 2000 0
4962502 0.0752924 0 14 1885 1e-05 1e-06 1e-06 2 2000 0
132502 0.0294024 1996 2 590 1e-05 1e-06 1e-06 2 3000 0
132502 0.054601 1996 2 71 1e-05 1e-06 1e-06 2 3000 0
170002 0.0371674 0 1 3000 1e-05 1e-06 1e-06 2 3000 0
747501 -0.00767799 4 0 2714 1e-05 1e-06 1e-06 2 3000 0
920001 -0.0153871 0 3 2998 1e-05 1e-06 1e-06 2 3000 0
1610002 -0.106219 15 1998 1018 1e-05 1e-06 1e-06 2 3000 0
1632501 -0.0156137 0 1 3000 1e-05 1e-06 1e-06 2 3000 0
1737502 0.0372101 2000 2 41 1e-05 1e-06 1e-06 2 3000 0
2210001 0.0272808 319 0 2861 1e-05 1e-06 1e-06 2 3000 0
2210001 0.0858009 1357 1 2451 1e-05 1e-06 1e-06 2 3000 0
2412501 -0.0482368 0 463 2645 1e-05 1e-06 1e-06 2 3000 0
2457501 0.0146601 1251 1 1269 1e-05 1e-06 1e-06 2 3000 0
2990002 -0.0651491 0 9 2988 1e-05 1e-06 1e-06 2 3000 0
3507501 0.127845 2000 2 421 1e-05 1e-06 1e-06 2 3000 0
3620002 -0.0388941 0 1998 1205 1e-05 1e-06 1e-06 2 3000 0
3987502 -0.0688074 0 1998 751 1e-05 1e-06 1e-06 2 3000 0
4070001 0.0874025 1991 2 349 1e-05 1e-06 1e-06 2 3000 0
4092502 0.0704179 1996 2 58 1e-05 1e-06 1e-06 2 3000 0
4962502 -0.0715056 0 1998 601 1e-05 1e-06 1e-06 2 3000 0
20001 -0.12614 8 0 3957 1e-05 1e-06 1e-06 2 4000 0
132502 0.0294024 2000 0 590 1e-05 1e-06 1e-06 2 4000 0
132502 0.054601 2000 0 71 1e-05 1e-06 1e-06 2 4000 0
170002 -0.0983899 0 1719 3441 1e-05 1e-06 1e-06 2 4000 0
537501 -0.0162684 0 21 3965 1e-05 1e-06 1e-06 2 4000 0
650001 0.00348222 0 2 3998 1e-05 1e-06 1e-06 2 4000 0
1362502 0.00295552 0 99 3715 1e-05 1e-06 1e-06 2 4000 0
1362502 0.00894693 160 0 3342 1e-05 1e-06 1e-06 2 4000 0
1610002 -0.106219 0 2000 1018 1e-05 1e-06 1e-06 2 4000 0
1737502 0.0372101 2000 0 41 1e-05 1e-06 1e-06 2 4000 0
2112501 0.0240588 0 2 3980 1e-05 1e-06 1e-06 2 4000 0
2210001 0.0858009 1550 0 2451 1e-05 1e-06 1e-06 2 4000 0
2262502 -0.128918 0 8 3982 1e-05 1e-06 1e-06 2 4000 0
2412501 -0.0482368 0 2000 2645 1e-05 1e-06 1e-06 2 4000 0
2457501 0.0146601 1355 0 1269 1e-05 1e-06 1e-06 2 4000 0
2495001 0.0674083 89 0 3381 1e-05 1e-06 1e-06 2 4000 0
3470001 0.0201358 0 1 4000 1e-05 1e-06 1e-06 2 4000 0
3507501 0.127845 2000 0 421 1e-05 1e-06 1e-06 2 4000 0
3620002 -0.0388941 0 2000 1205 1e-05 1e-06 1e-06 2 4000 0
3987502 -0.0688074 0 2000 751 1e-05 1e-06 1e-06 2 4000 0
4070001 0.0874025 2000 0 349 1e-05 1e-06 1e-06 2 4000 0
4092502 0.0704179 2000 0 58 1e-05 1e-06 1e-06 2 4000 0
4122501 -0.0817568 0 1 4000 1e-05 1e-06 1e-06 2 4000 0
4962502 -0.0715056 0 2000 601 1e-05 1e-06 1e-06 2 4000 0
132502 0.0294024 1873 1 590 1e-05 1e-06 1e-06 2 5000 0
132502 0.054601 1873 1 71 1e-05 1e-06 1e-06 2 5000 0
170002 -0.0983899 0 2000 3441 1e-05 1e-06 1e-06 2 5000 0
387501 0.0942008 4 0 4993 1e-05 1e-06 1e-06 2 5000 0
387502 -0.0120269 226 0 4844 1e-05 1e-06 1e-06 2 5000 0
455002 -0.0221625 0 1 4999 1e-05 1e-06 1e-06 2 5000 0
1362501 -0.0320886 0 411 4603 1e-05 1e-06 1e-06 2 5000 0
1610002 -0.106219 0 2000 1018 1e-05 1e-06 1e-06 2 5000 0
1617501 0.0623172 0 29 4987 1e-05 1e-06 1e-06 2 5000 0
1737502 0.0372101 2000 0 41 1e-05 1e-06 1e-06 2 5000 0
1970002 -0.0482961 0 2 4999 1e-05 1e-06 1e-06 2 5000 0
2112502 -0.00730424 0 84 4786 1e-05 1e-06 1e-06 2 5000 0
2210001 0.0858009 1784 2 2451 1e-05 1e-06 1e-06 2 5000 0
2412501 -0.0482368 0 1999 2645 1e-05 1e-06 1e-06 2 5000 0
2457501 0.0146601 1830 0 1269 1e-05 1e-06 1e-06 2 5000 0
2495001 0.0674083 64 0 3381 1e-05 1e-06 1e-06 2 5000 0
2990002 0.0272072 3 0 4983 1e-05 1e-06 1e-06 2 5000 0
3117502 0.0145525 20 0 4984 1e-05 1e-06 1e-06 2 5000 0
3470001 -0.0246207 0 15 4849 1e-05 1e-06 1e-06 2 5000 0
3507501 0.127845 2000 0 421 1e-05 1e-06 1e-06 2 5000 0
3620002 -0.0388941 0 2000 1205 1e-05 1e-06 1e-06 2 5000 0
3987502 -0.0688074 0 2000 751 1e-05 1e-06 1e-06 2 5000 0
4070001 0.0874025 1751 0 349 1e-05 1e-06 1e-06 2 5000 0
4092502 0.0704179 2000 0 58 1e-05 1e-06 1e-06 2 5000 0
4122501 -0.0310881 0 3 4980 1e-05 1e-06 1e-06 2 5000 0
4962502 -0.0715056 0 2000 601 1e-05 1e-06 1e-06 2 5000 0
20002 -0.0475302 199 0 5845 1e-05 1e-06 1e-06 2 6000 0
132502 0.054601 2000 0 71 1e-05 1e-06 1e-06 2 6000 0
132502 0.0294024 2000 0 590 1e-05 1e-06 1e-06 2 6000 0
170002 -0.0983899 0 2000 3441 1e-05 1e-06 1e-06 2 6000 0
747502 -0.0102441 0 228 5912 1e-05 1e-06 1e-06 2 6000 0
747502 -0.00680214 5 0 5990 1e-05 1e-06 1e-06 2 6000 0
800002 -0.0390455 1 0 5988 1e-05 1e-06 1e-06 2 6000 0
1362501 -0.0320886 0 870 4603 1e-05 1e-06 1e-06 2 6000 0
1610002 -0.106219 0 2000 1018 1e-05 1e-06 1e-06 2 6000 0
1662502 0.00572389 13 0 5841 1e-05 1e-06 1e-06 2 6000 0
1737502 0.0372101 2000 0 41 1e-05 1e-06 1e-06 2 6000 0
2015002 0.0960376 1 0 6000 1e-05 1e-06 1e-06 2 6000 0
2015002 0.0207827 0 120 5777 1e-05 1e-06 1e-06 2 6000 0
2037501 -0.0585592 0 845 5412 1e-05 1e-06 1e-06 2 6000 0
2045001 -0.0205971 0 22 5688 1e-05 1e-06 1e-06 2 6000 0
2210001 0.0858009 2000 0 2451 1e-05 1e-06 1e-06 2 6000 0
2352502 0.0338856 5 0 5988 1e-05 1e-06 1e-06 2 6000 0
2412501 -0.0482368 0 2000 2645 1e-05 1e-06 1e-06 2 6000 0
2457501 0.0146601 1650 21 1269 1e-05 1e-06 1e-06 2 6000 0
2990002 0.0323638 0 525 5254 1e-05 1e-06 1e-06 2 6000 0
3507501 0.127845 2000 0 421 1e-05 1e-06 1e-06 2 6000 0
3620002 -0.0388941 0 2000 1205 1e-05 1e-06 1e-06 2 6000 0
3710002 -0.0850897 0 1 6000 1e-05 1e-06 1e-06 2 6000 0
3987502 -0.0688074 0 2000 751 1e-05 1e-06 1e-06 2 6000 0
4070001 0.0874025 1612 0 349 1e-05 1e-06 1e-06 2 6000 0
4092502 0.0704179 2000 0 58 1e-05 1e-06 1e-06 2 6000 0
4092502 -0.0311911 2 0 5912 1e-05 1e-06 1e-06 2 6000 0
4580002 0.0149784 3 0 5992 1e-05 1e-06 1e-06 2 6000 0
