position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
27501 -0.00895846 0 0.3565 1100 1e-05 1e-06 1e-06 5 2500 0
132501 -0.0521143 0.0025 0.9885 1522 1e-05 1e-06 1e-06 5 2500 0
132502 0.0597514 0 0.002 2486 1e-05 1e-06 1e-06 5 2500 0
192502 0.0986375 1 0 649 1e-05 1e-06 1e-06 5 2500 0
1310002 -0.141105 0.001 0 2409 1e-05 1e-06 1e-06 5 2500 0
1362502 0.0191325 0 0.046 2150 1e-05 1e-06 1e-06 5 2500 0
1917502 -0.0898654 0 0.504 2166 1e-05 1e-06 1e-06 5 2500 0
1917502 -0.00320959 0 0.0415 1600 1e-05 1e-06 1e-06 5 2500 0
2352502 -0.0502869 0.063 0.906 1032 1e-05 1e-06 1e-06 5 2500 0
2412501 -0.028042 0.0175 0 2378 1e-05 1e-06 1e-06 5 2500 0
2892501 0.0124189 0.001 0 2499 1e-05 1e-06 1e-06 5 2500 0
3087502 0.0711815 1 0 52 1e-05 1e-06 1e-06 5 2500 0
3207501 -0.0133754 0 0.9825 508 1e-05 1e-06 1e-06 5 2500 0
3882501 -0.0685948 0 0.0055 2488 1e-05 1e-06 1e-06 5 2500 0
4400002 0.0205806 0 0.001 2494 1e-05 1e-06 1e-06 5 2500 0
4580002 -0.0313376 0 0.019 2478 1e-05 1e-06 1e-06 5 2500 0
4895002 0.0860143 1 0 1371 1e-05 1e-06 1e-06 5 2500 0
20002 0.0926532 0.8035 0 4297 1e-05 1e-06 1e-06 5 5000 0
27501 -0.00895846 0 0.0135 1100 1e-05 1e-06 1e-06 5 5000 0
132501 -0.0521143 0 1 1522 1e-05 1e-06 1e-06 5 5000 0
192502 0.0986375 1 0 649 1e-05 1e-06 1e-06 5 5000 0
552501 0.0148391 0.003 0 4238 1e-05 1e-06 1e-06 5 5000 0
747502 0.0159265 0 0.0065 4967 1e-05 1e-06 1e-06 5 5000 0
1632501 0.0324321 0.3225 0 3952 1e-05 1e-06 1e-06 5 5000 0
1917502 -0.0898654 0 1 2166 1e-05 1e-06 1e-06 5 5000 0
1970002 0.0733877 0 0.001 4999 1e-05 1e-06 1e-06 5 5000 0
2210001 -0.0758365 0 0.985 4107 1e-05 1e-06 1e-06 5 5000 0
2352502 -0.0502869 0 1 1032 1e-05 1e-06 1e-06 5 5000 0
2990001 -0.0025471 0.0005 0 5000 1e-05 1e-06 1e-06 5 5000 0
3005001 -0.00712413 0 0.0015 4900 1e-05 1e-06 1e-06 5 5000 0
3087502 0.0711815 1 0 52 1e-05 1e-06 1e-06 5 5000 0
3207501 -0.0133754 0 1 508 1e-05 1e-06 1e-06 5 5000 0
3747501 0.0156916 0 0.001 4998 1e-05 1e-06 1e-06 5 5000 0
3830002 0.0554507 0 0.0005 5000 1e-05 1e-06 1e-06 5 5000 0
4092502 0.0384063 0.982 0 3665 1e-05 1e-06 1e-06 5 5000 0
4310001 -0.0426628 0 0.0035 4997 1e-05 1e-06 1e-06 5 5000 0
4895002 0.0860143 1 0 1371 1e-05 1e-06 1e-06 5 5000 0
132502 0.0824951 0 0.0095 2475 1e-05 1e-06 1e-06 5 2500 1
342502 -0.0163769 0 0.007 2418 1e-05 1e-06 1e-06 5 2500 1
387502 0.0109468 0 0.272 1473 1e-05 1e-06 1e-06 5 2500 1
567501 -0.040026 0 1 717 1e-05 1e-06 1e-06 5 2500 1
800001 0.0132858 0.756 0 781 1e-05 1e-06 1e-06 5 2500 1
1310002 -0.020396 0 0.0135 2261 1e-05 1e-06 1e-06 5 2500 1
1677501 0.088835 0.0175 0 2309 1e-05 1e-06 1e-06 5 2500 1
1737502 -0.0565506 0 0.0005 2499 1e-05 1e-06 1e-06 5 2500 1
2030002 -0.0683365 0 1 1510 1e-05 1e-06 1e-06 5 2500 1
2300001 -0.00407148 0 0.0005 2498 1e-05 1e-06 1e-06 5 2500 1
3020001 -0.102183 0 0.73 1949 1e-05 1e-06 1e-06 5 2500 1
3987502 -0.00102021 0 0.0005 2497 1e-05 1e-06 1e-06 5 2500 1
4160002 -0.0767371 0 0.9205 1772 1e-05 1e-06 1e-06 5 2500 1
4617502 0.0622023 0.585 0 1927 1e-05 1e-06 1e-06 5 2500 1
4722501 -0.0244502 0 1 1498 1e-05 1e-06 1e-06 5 2500 1
132501 0.0392323 0.339 0 4793 1e-05 1e-06 1e-06 5 5000 1
342502 -0.0484996 0 0.6665 3726 1e-05 1e-06 1e-06 5 5000 1
567501 -0.040026 0 1 717 1e-05 1e-06 1e-06 5 5000 1
800001 0.0132858 1 0 781 1e-05 1e-06 1e-06 5 5000 1
1617501 -0.0110785 0 0.5595 3471 1e-05 1e-06 1e-06 5 5000 1
2030002 -0.0683365 0 1 1510 1e-05 1e-06 1e-06 5 5000 1
2112501 0.090134 1 0 3844 1e-05 1e-06 1e-06 5 5000 1
2210001 -0.0379444 0 0.9665 3506 1e-05 1e-06 1e-06 5 5000 1
2262502 0.037316 0.4565 0 3814 1e-05 1e-06 1e-06 5 5000 1
2457502 -0.0837151 0.0315 0 4885 1e-05 1e-06 1e-06 5 5000 1
2892502 -0.0662406 0.002 0 4963 1e-05 1e-06 1e-06 5 5000 1
3020001 -0.102183 0.002 1 1949 1e-05 1e-06 1e-06 5 5000 1
4070001 0.0220575 0.046 0 4937 1e-05 1e-06 1e-06 5 5000 1
4160002 -0.0767371 0 1 1772 1e-05 1e-06 1e-06 5 5000 1
4617502 0.0622023 1 0 1927 1e-05 1e-06 1e-06 5 5000 1
4722501 -0.0244502 0 1 1498 1e-05 1e-06 1e-06 5 5000 1
4722502 0.0342591 0.0035 0 4987 1e-05 1e-06 1e-06 5 5000 1
4962501 0.0539291 1 0 3356 1e-05 1e-06 1e-06 5 5000 1
