position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
800001 -0.00679847 0 0.0065 2486 0.01 1e-06 1e-06 5 2500 0
1362501 0.0279819 0.1755 0.12 758 0.01 1e-06 1e-06 5 2500 0
1970001 -0.0273377 0.007 0.0335 2355 0.01 1e-06 1e-06 5 2500 0
2150001 -0.0576302 0.4415 0.6205 589 0.01 1e-06 1e-06 5 2500 0
2307501 -0.0598402 0.0005 0 2499 0.01 1e-06 1e-06 5 2500 0
2330001 -0.0749143 0.001 0.005 2428 0.01 1e-06 1e-06 5 2500 0
2495002 -0.0264159 0.0125 0.011 2312 0.01 1e-06 1e-06 5 2500 0
2990002 -0.00930136 0 0.002 2494 0.01 1e-06 1e-06 5 2500 0
3117502 -0.0446299 0 0.0015 2498 0.01 1e-06 1e-06 5 2500 0
3132502 0.0989062 0.695 0.373 874 0.01 1e-06 1e-06 5 2500 0
3470001 0.00954745 0.0875 0.053 1846 0.01 1e-06 1e-06 5 2500 0
4400002 -0.0859734 0.18 0.443 271 0.01 1e-06 1e-06 5 2500 0
4617502 -0.050794 0.0005 0 2497 0.01 1e-06 1e-06 5 2500 0
4895001 -0.0241726 0 0.0015 2498 0.01 1e-06 1e-06 5 2500 0
4895001 -0.0707789 0.604 0.796 776 0.01 1e-06 1e-06 5 2500 0
20002 -0.0138294 0.001 0 4997 0.01 1e-06 1e-06 5 5000 0
455001 -0.0598172 0 0.0035 4974 0.01 1e-06 1e-06 5 5000 0
1355002 0.0765442 0 0.0005 4981 0.01 1e-06 1e-06 5 5000 0
1362501 0.0279819 0.469 0.2995 758 0.01 1e-06 1e-06 5 5000 0
1467502 0.0504255 0 0.0045 4951 0.01 1e-06 1e-06 5 5000 0
1610002 0.00611146 0.0815 0.0605 4869 0.01 1e-06 1e-06 5 5000 0
1617501 0.0718356 0.444 0.192 4563 0.01 1e-06 1e-06 5 5000 0
2150001 -0.0576302 0.24 0.519 589 0.01 1e-06 1e-06 5 5000 0
2300001 0.049456 0.01 0.009 4957 0.01 1e-06 1e-06 5 5000 0
2390001 0.100557 0.6955 0.3355 3379 0.01 1e-06 1e-06 5 5000 0
3132502 0.0989062 0.7355 0.398 874 0.01 1e-06 1e-06 5 5000 0
3470001 0.00954745 0.8115 0.889 1846 0.01 1e-06 1e-06 5 5000 0
3830001 -0.0347912 0 0.0005 5000 0.01 1e-06 1e-06 5 5000 0
3882501 -0.00656314 0.0005 0 5000 0.01 1e-06 1e-06 5 5000 0
4070002 -0.15081 0.2025 0.676 2521 0.01 1e-06 1e-06 5 5000 0
4092501 -0.000976351 0.086 0.0545 4058 0.01 1e-06 1e-06 5 5000 0
4400002 -0.0859734 0.305 0.714 271 0.01 1e-06 1e-06 5 5000 0
4895001 -0.0707789 0.337 0.6275 776 0.01 1e-06 1e-06 5 5000 0
342501 -0.0257676 0 0.0005 2493 0.01 1e-06 1e-06 5 2500 1
747502 -0.0664538 0.276 0.596 1277 0.01 1e-06 1e-06 5 2500 1
800001 -0.0345335 0.0085 0 2410 0.01 1e-06 1e-06 5 2500 1
1355001 -0.0742448 0.4145 0.548 1512 0.01 1e-06 1e-06 5 2500 1
1632502 -0.00450862 0.0095 0.0325 2120 0.01 1e-06 1e-06 5 2500 1
1662501 0.0343806 0 0.0005 2500 0.01 1e-06 1e-06 5 2500 1
2030001 0.0578509 0.531 0.206 29 0.01 1e-06 1e-06 5 2500 1
2150001 0.133445 0.759 0.22 271 0.01 1e-06 1e-06 5 2500 1
2210001 0.0400723 0.503 0.2915 177 0.01 1e-06 1e-06 5 2500 1
2352501 -0.00903416 0.4695 0.67 1588 0.01 1e-06 1e-06 5 2500 1
2457501 -0.0119839 0 0.0005 2500 0.01 1e-06 1e-06 5 2500 1
3207501 -0.022169 0.1545 0.2425 1484 0.01 1e-06 1e-06 5 2500 1
207501 -0.0753835 0.393 0.7665 3411 0.01 1e-06 1e-06 5 5000 1
342502 -0.118773 0.237 0.7 3058 0.01 1e-06 1e-06 5 5000 1
455002 -0.0164015 0 0.001 4908 0.01 1e-06 1e-06 5 5000 1
650002 0.0347262 0.0105 0.0295 4704 0.01 1e-06 1e-06 5 5000 1
747501 0.0891611 0.0115 0.007 4949 0.01 1e-06 1e-06 5 5000 1
747502 -0.0664538 0.67 0.7865 1277 0.01 1e-06 1e-06 5 5000 1
1355001 -0.0742448 0.3585 0.739 1512 0.01 1e-06 1e-06 5 5000 1
1362502 0.0672582 0.603 0.2655 2768 0.01 1e-06 1e-06 5 5000 1
1617502 0.0283311 0 0.0035 4766 0.01 1e-06 1e-06 5 5000 1
1632502 0.0250485 0 0.0015 4991 0.01 1e-06 1e-06 5 5000 1
1677502 0.0143607 0 0.0095 4910 0.01 1e-06 1e-06 5 5000 1
2030001 0.0578509 0.547 0.354 29 0.01 1e-06 1e-06 5 5000 1
2150001 0.133445 0.725 0.2435 271 0.01 1e-06 1e-06 5 5000 1
2210001 0.0400723 0.432 0.184 177 0.01 1e-06 1e-06 5 5000 1
2352501 -0.00903416 0.0235 0.0575 1588 0.01 1e-06 1e-06 5 5000 1
2412501 0.110796 0.7455 0.2395 2815 0.01 1e-06 1e-06 5 5000 1
2892501 0.0450703 0.1155 0.0705 3620 0.01 1e-06 1e-06 5 5000 1
2990002 -0.0331814 0.027 0.0225 4347 0.01 1e-06 1e-06 5 5000 1
3207501 -0.022169 0.1885 0.291 1484 0.01 1e-06 1e-06 5 5000 1
3620001 0.0585625 0.5495 0.2555 3750 0.01 1e-06 1e-06 5 5000 1
3897501 -0.0376485 0.1305 0.169 2929 0.01 1e-06 1e-06 5 5000 1
