position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
20001 -0.0809827 0 0.0325 2432 0.001 1e-06 1e-06 5 2500 0
27502 0.0642542 0.989 0.103 110 0.001 1e-06 1e-06 5 2500 0
132502 0.0521796 0.0005 0 2456 0.001 1e-06 1e-06 5 2500 0
140001 0.0670451 0.9675 0.1135 641 0.001 1e-06 1e-06 5 2500 0
140001 0.0795204 0 0.0005 2490 0.001 1e-06 1e-06 5 2500 0
387501 0.0295287 0.18 0.0455 2041 0.001 1e-06 1e-06 5 2500 0
1632502 -0.0128458 0 0.003 2488 0.001 1e-06 1e-06 5 2500 0
1677501 -0.04455 0.0065 0 2480 0.001 1e-06 1e-06 5 2500 0
1737502 -0.0567405 0.136 0.818 992 0.001 1e-06 1e-06 5 2500 0
2030002 -0.0836101 0.0005 0 2500 0.001 1e-06 1e-06 5 2500 0
2495001 0.0330827 0 0.003 2492 0.001 1e-06 1e-06 5 2500 0
2495002 -0.0608669 0.021 0.9385 695 0.001 1e-06 1e-06 5 2500 0
3747501 -0.0789892 0.0805 0.9575 1625 0.001 1e-06 1e-06 5 2500 0
3747502 -0.0103125 0 0.0535 2379 0.001 1e-06 1e-06 5 2500 0
4092502 -0.0133768 0.0005 0 2497 0.001 1e-06 1e-06 5 2500 0
4122501 0.0157388 0.2935 0.014 737 0.001 1e-06 1e-06 5 2500 0
4400001 -0.0109715 0.0005 0 2493 0.001 1e-06 1e-06 5 2500 0
20002 0.105661 0.929 0.057 3751 0.001 1e-06 1e-06 5 5000 0
27502 0.0642542 0.8635 0.054 110 0.001 1e-06 1e-06 5 5000 0
140001 0.0670451 0.813 0.0785 641 0.001 1e-06 1e-06 5 5000 0
170001 -0.00487395 0.0445 0 4810 0.001 1e-06 1e-06 5 5000 0
387501 0.0295287 0.841 0.061 2041 0.001 1e-06 1e-06 5 5000 0
567502 0.0248727 0.171 0.0015 2751 0.001 1e-06 1e-06 5 5000 0
567502 0.05921 0.035 0.0005 4216 0.001 1e-06 1e-06 5 5000 0
642502 -0.000651068 0 0.0005 4996 0.001 1e-06 1e-06 5 5000 0
650001 -0.0805306 0.0665 0 4882 0.001 1e-06 1e-06 5 5000 0
1310002 0.0552226 0.004 0.0005 4614 0.001 1e-06 1e-06 5 5000 0
1610001 -0.0502893 0 0.045 4924 0.001 1e-06 1e-06 5 5000 0
1737502 0.0622457 0.144 0 4479 0.001 1e-06 1e-06 5 5000 0
1737502 -0.0567405 0.0765 0.748 992 0.001 1e-06 1e-06 5 5000 0
2030001 0.128185 0.0005 0 4999 0.001 1e-06 1e-06 5 5000 0
2112502 -0.0586481 0.001 0.048 4864 0.001 1e-06 1e-06 5 5000 0
2352502 0.0960992 0.001 0 4987 0.001 1e-06 1e-06 5 5000 0
2495002 -0.0608669 0.276 0.958 695 0.001 1e-06 1e-06 5 5000 0
3710001 0.150996 0.9195 0.0195 3637 0.001 1e-06 1e-06 5 5000 0
