position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
170001 0.0229985 0.962 0 1108 1e-05 1e-06 1e-06 5 2500 0
1362501 0.0855959 0.0125 0 2490 1e-05 1e-06 1e-06 5 2500 0
1737502 -0.0359605 0 1 31 1e-05 1e-06 1e-06 5 2500 0
2015001 -0.0312135 0.022 0 2409 1e-05 1e-06 1e-06 5 2500 0
2030001 0.00792927 0.5885 0 859 1e-05 1e-06 1e-06 5 2500 0
2037501 0.00508391 0.001 0 2492 1e-05 1e-06 1e-06 5 2500 0
3117501 0.0795902 1 0 357 1e-05 1e-06 1e-06 5 2500 0
3507501 -0.055308 0 1 640 1e-05 1e-06 1e-06 5 2500 0
3882501 -0.0268822 0 1 509 1e-05 1e-06 1e-06 5 2500 0
3897501 -0.0151701 0 0.0565 748 1e-05 1e-06 1e-06 5 2500 0
4310001 0.0585845 1 0 493 1e-05 1e-06 1e-06 5 2500 0
4310002 0.00951181 0.1025 0 1261 1e-05 1e-06 1e-06 5 2500 0
4482502 0.0546631 0.9505 0 1635 1e-05 1e-06 1e-06 5 2500 0
4617501 0.018613 0.001 0 2494 1e-05 1e-06 1e-06 5 2500 0
4617502 -0.0275447 0 1 838 1e-05 1e-06 1e-06 5 2500 0
132502 -0.0355764 0 0.5295 4289 1e-05 1e-06 1e-06 5 5000 0
170001 0.0229985 1 0 1108 1e-05 1e-06 1e-06 5 5000 0
170002 0.0361402 0.0145 0 4966 1e-05 1e-06 1e-06 5 5000 0
387502 0.0501021 0.224 0 4472 1e-05 1e-06 1e-06 5 5000 0
1362501 0.0855959 1 0 2490 1e-05 1e-06 1e-06 5 5000 0
1677502 -0.0240665 0 0.1325 4282 1e-05 1e-06 1e-06 5 5000 0
1737502 -0.0359605 0 1 31 1e-05 1e-06 1e-06 5 5000 0
2015002 -0.0461439 0 1 3738 1e-05 1e-06 1e-06 5 5000 0
2030001 0.00792927 1 0 859 1e-05 1e-06 1e-06 5 5000 0
2892501 -0.00687502 0 0.075 4096 1e-05 1e-06 1e-06 5 5000 0
